document_date,document_number,vendor_name,vendor_number,vendor_group_number,ap_payment_date,voucher_number,amt,agency_code_x,agency_name_x,agency_code_y,agency_name_y,agency_code,agency_name
2020-07-17,JJDPA2020-06,MINNEHAHA  CO STATES ATTY OFF,12055058,81,2020-07-31,,3670.35,18.0,CORRECTIONS,,,,
2020-07-06,069928,TIME EQUIPMENT RENTAL & SALES,12041247,,2020-07-31,,2121.6,6.0,"GAME, FISH AND PARKS",,,,
2020-07-30,M0232B2104,VEBLEN-CITY OF,12055153,,2020-07-31,,3092.64,2.0,REVENUE,,,,
2020-07-02,0355577-00,SUDS & DUDS INC,12049672,,2020-07-31,,33.73,3.0,AGRICULTURE & NAT. RESOURCES,,,,
2020-07-10,027-264758,MP FT PIERRE LLC,12511684,,2020-07-31,,385.0,3.0,AGRICULTURE & NAT. RESOURCES,,,,
2020-07-10,0031000046,CLARITY TELECOM LLC,12479166,,2020-07-31,,36.87,3.0,AGRICULTURE & NAT. RESOURCES,,,,
2020-07-09,2021VFA-19-21,JAVA FIRE DISTRICT,12407078,,2020-07-31,,472.25,3.0,AGRICULTURE & NAT. RESOURCES,,,,
2020-07-08,279787,"MILLS, DAVID H",12360307,,2020-07-31,,273.75,3.0,AGRICULTURE & NAT. RESOURCES,,,,
2020-07-01,0601-449-61 FY21,ROBERTS COUNTY AUDITOR,12055071,02,2020-07-31,400007,157.5,6.0,"GAME, FISH AND PARKS",,,,
2020-07-02,FY2021 RENT,KELLEY ENTERPRISES,12046148,,2020-07-31,404297,2312.5,3.0,AGRICULTURE & NAT. RESOURCES,,,,
2020-07-27,M021BTR001,MELLETTE-CITY OF,12036558,,2020-07-31,,5848.46,2.0,REVENUE,,,,
2020-07-27,M021BTR001,MARTIN-CITY OF,12054824,,2020-07-31,,58237.23,2.0,REVENUE,,,,
2020-07-15,071520GOODLANDER,DAKOTA LODGE LLC,12140291,,2020-07-31,,75.0,3.0,AGRICULTURE & NAT. RESOURCES,,,,
2020-07-23,14161330111435,MIDCONTINENT COMMUNICATIONS,12023782,04,2020-07-31,,375.0,13.0,BUREAU OF INFORMATION & TELE.,,,,
2020-07-20,015037301-072020,CLARITY TELECOM LLC,12479166,,2020-07-31,,58.8,13.0,BUREAU OF INFORMATION & TELE.,,,,
2020-07-16,130870784,CENTURYLINKCOMM,12188416,03,2020-07-31,,48378.73,13.0,BUREAU OF INFORMATION & TELE.,,,,
2020-07-25,012111002,HARRIS NA,12330638,,2020-07-31,,3746.8,12.0,BUREAU OF ADMINISTRATION,,,,
2020-07-13,9870087-071320,CENTURYLINK COMMUNICATIONS LLC,12188416,,2020-07-31,,265.0,13.0,BUREAU OF INFORMATION & TELE.,,,,
2020-06-24,78,US DEPARTMENT OF AG FOOD SAFET,12117916,04,2020-07-31,,665.5,3.0,AGRICULTURE & NAT. RESOURCES,,,,
2020-06-30,210676 211673,STURDEVANTS AUTO PARTS HOT,12174522,,2020-07-31,,26.2,3.0,AGRICULTURE & NAT. RESOURCES,,,,
2020-07-20,74128,MENARDS,12019798,10,2020-07-31,,17.96,8.0,SOCIAL SERVICES,,,,
2020-07-01,4618687-49343321,KNECHT LLC,12555937,,2020-07-31,,633.54,3.0,AGRICULTURE & NAT. RESOURCES,,,,
2020-07-22,11210558,MCKESSON MEDICAL SURGICAL INC,12489193,01,2020-07-31,,186.89,8.0,SOCIAL SERVICES,,,,
2020-07-22,21SC08B336-JUN,HUMAN SERVICE AGENCY,12031085,,2020-07-31,,2928.08,8.0,SOCIAL SERVICES,,,,
2020-07-23,21SC08A324-JUL1,"KANALY, STEPHANIE A",12515502,,2020-07-31,,1390.38,8.0,SOCIAL SERVICES,,,,
2020-07-10,07102020B,SOUTH DAKOTA VETERINARY,12036649,,2020-07-31,,1200.0,3.0,AGRICULTURE & NAT. RESOURCES,,,,
2020-07-08,21SC08B617-JUN,SOUTHEASTERN BEHAVIORAL,12029954,,2020-07-31,,404.1,8.0,SOCIAL SERVICES,,,,
2020-07-28,M0232H2104,VNDR   12498318,12498318,,2020-07-31,,24432.11,2.0,REVENUE,,,,
2020-06-30,9842671,COLE PAPERS INC,12027125,,2020-07-31,,69.97,11.0,TRANSPORTATION,,,,
2020-06-26,B198954,NIELSEN CONSTRUCTION INC,12051076,,2020-07-31,,12.91,6.0,"GAME, FISH AND PARKS",,,,
2020-07-23,1602015400,AMERIPRIDE SERVICES INC,12021245,02,2020-07-31,,30.15,6.0,"GAME, FISH AND PARKS",,,,
2020-07-23,1602040806,AMERIPRIDE SERVICES INC,12021245,02,2020-07-31,,30.15,6.0,"GAME, FISH AND PARKS",,,,
2020-07-07,27389936,GREATAMERICA FINANCIAL SRV COP,12025514,01,2020-07-31,,105.23,8.0,SOCIAL SERVICES,,,,
2020-07-23,9921,BIG SIOUX NURSERY INC,12048694,,2020-07-31,,176.75,6.0,"GAME, FISH AND PARKS",,,,
2020-07-01,07012020,GRAND ELECTRIC COOPERATIVE INC,12029648,,2020-07-31,,3202.57,6.0,"GAME, FISH AND PARKS",,,,
2020-07-01,0601-449-81 FY21,STUKEL PROPERTIES LLC,12615511,,2020-07-31,400022,600.19,6.0,"GAME, FISH AND PARKS",,,,
2020-07-14,122022828,ULINE INC,12017798,,2020-07-31,,769.03,6.0,"GAME, FISH AND PARKS",,,,
2020-07-27,M021BTR001,CLARK-CITY OF,12054402,,2020-07-31,,46949.35,2.0,REVENUE,,,,
2020-06-30,24296,BLACK HILLS SPECIAL SERVICES,12037282,,2020-07-31,,629.0,19.0,HUMAN SERVICES,,,,
2020-07-16,1255190,ROCKMOUNT RESEARCH & ALLOYS IN,12121540,,2020-07-31,,1003.26,11.0,TRANSPORTATION,,,,
